Title,Price,Material A,A Percent,Material B,B Percent
ASOS DESIGN knitted top with sweetheart neck and faux feather trims in lime yellow,£85.00,Viscose,0.68,Polyester,0.32
Pull&Bear cable knit oversized cardigan in ecru,£85.00,Acrylic,0.86,Polyester,0.08
Labelrail x Holly Marston velvet leopard tie cardigan with faux fur trim in brown,£85.00,Polyester,0.92,Elastane,0.08
Pull&Bear button detail oversized knitted jumper in taupe brown,£85.00,Polyester,0.4,Polyamide,0.27
Aria Cove knitted turtle neck ribbed jumper with open front detail co-ord in chocolate,£85.00,Viscose,0.53,Polyester,0.32
ASOS DESIGN knitted top with cut out and twist strap neck in metallic brown,£85.00,Viscose,0.54,Polyamide,0.26
Topshop knitted funnel neck stripe long sleeve top in blue,£85.00,Viscose,0.63,Nylon,0.37
Stradivarius cropped cable knit jumper in navy ,£85.00,Acrylic,1.0,NaN,0.0
ASOS DESIGN Petite relaxed crew neck jumper in cream ,£85.00,Polyester,0.58,Acrylic,0.36
Topshop knitted ultra fluffy fairisle jumper in neutral,£26.00,Nylon,0.75,Acrylic,0.25
Noisy May lightweight longline cardigan in grey,£85.00,Polyester,0.97,Elastane,0.03
Vero Moda longline chuck on cardigan in black melange,£85.00,Polyester,0.94,Elastane,0.03
Abercrombie & Fitch long sleeve knitted top with sweetheart neckline in cream,£85.00,Viscose,0.83,Nylon,0.16
Topshop knitted long line v neck boucle jumper in pink,£26.00,Polyester,0.53,Acrylic,0.2
ASOS DESIGN double zip cardigan in fairisle pattern in grey ,£26.00,Polyester,0.7,Acrylic,0.2
Topshop knitted forward seam twist yarn crew jumper in multi,£26.00,Polyester,1.0,NaN,0.0
ASOS DESIGN off shoulder jumper in chunky rib in charcoal,£26.00,Polyester,1.0,NaN,0.0
& Other Stories alpaca wool relaxed jumper in brown melange,£26.00,Alpaca,0.52,Polyamide,0.45
Monki knitted button front cardigan with v neck in beige melange,£26.00,Polyester,0.8,Acrylic,0.15
ASOS DESIGN super soft colour block long sleeve jumper in grey marl,£26.00,Polyester,0.56,Cotton,0.44
Only lightweight chevron jumper in black and gold glitter,£26.00,Viscose,0.8,Metallic,0.2
ASOS DESIGN super soft co-ord long line polo neck jumper in charcoal marl,£26.00,Polyester,0.56,Cotton,0.44
Topshop knitted forward seam twist yarn crew jumper in grey,£26.00,Polyester,1.0,NaN,0.0
Brave Soul frankie zipped front ribbed jumper in charcoal,£26.00,Acrylic,0.72,Polyamide,0.26
ASOS DESIGN longline jumper with high neck in silver grey ,£26.00,Polyester,0.51,Acrylic,0.46
Topshop knitted zebra print fluffy jumper in neutral,£26.00,Acrylic,0.83,Polyester,0.11
& Other Stories mock neck jumper in black,£26.00,Polyester,0.52,Acrylic,0.38
ASOS DESIGN relaxed jumper with zip collar in grey,£26.00,Acrylic,0.5,Polyester,0.5
Threadbare Christmas printed sweater in red,£26.00,Cotton,0.55,Polyester,0.45
& Other Stories alpaca blend cardigan with button front in grey,£26.00,Alpaca,0.52,Polyamide,0.45
Topshop knitted boucle stripe jumper in mono,£26.00,Polyester,0.7,Acrylic,0.26
Pieces chunky knit cardigan in grey,£26.00,Polyester,1.0,NaN,0.0
Topshop knitted slouchy exposed seam fluffy wide rib jumper in grey,£26.00,Polyester,0.7,Nylon,0.21
Pieces reversable tie front cardigan in light beige,£26.00,Polyester,0.9,Elastane,0.05
ASOS DESIGN super soft co-ord roll neck with cuff detail in bright pink,£26.00,Polyester,0.56,Cotton,0.44
ASOS DESIGN Curve super soft long line roll neck in winter white,£26.00,Polyester,0.56,Cotton,0.44
Pieces roll neck jumper in navy and white stripe,£26.00,Polyester,1.0,NaN,0.0
ASOS DESIGN knitted cropped cardigan with double zip in grey marl,£26.00,Cotton,1.0,NaN,0.0
Vero Moda button through cardigan in burgundy red,£26.00,Acrylic,1.0,NaN,0.0
Topshop knitted fluffy roll neck jumper in blue,£26.00,Polyester,0.45,Acrylic,0.3
ASOS DESIGN asymmetric cardigan with double zip in chocolate,£26.00,Polyester,0.57,Nylon,0.33
